Tipo Vehiculo,Marca,Modelo,Pais,Especificacion,Año,Valor
AUTOMOVIL,GENESIS,G80,COREA DEL SUR,SERIE: 2.5T ADVANCED||COMBUSTIBLE: GASOLINA||CILINDRO: 4||CC: 2500||PASAJEROS: 5||PUERTAS: 4||TRACCION: RWD||,2021,"$20,786.40"
AUTOMOVIL,GENESIS,G80,COREA DEL SUR,SERIE: 3.5T Prestige Black||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 3500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$30,153.20"
AUTOMOVIL,GENESIS,G80,COREA DEL SUR,SERIE: 3.5T SPORT || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD || ,2021,"$24,320.00"
AUTOMOVIL,GENESIS,G90,COREA DEL SUR,SERIE: 3.3T PREMIUM||COMBUSTIBLE: GASOLINA||CILINDROS: 6||CC: 3300||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$29,255.20"
AUTOMOVIL,GENESIS,G90,COREA DEL SUR,SERIE: 3.3T PREMIUM||COMBUSTIBLE: GASOLINA||CILINDROS: 6||CC: 3300||PASAJEROS: 5||PUERTAS: 4||TRACCION: RWD||,2021,"$28,311.20"
AUTOMOVIL,GENESIS,G90,COREA DEL SUR,SERIE: 3.5T||COMBUSTIBLE: GASOLINA||CILINDRO: 6||CC: 3500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$35,226.40"
AUTOMOVIL,GENESIS,G90,COREA DEL SUR,SERIE: 5.0 ULTIMATE||COMBUSTIBLE: GASOLINA||CILINDROS: 8||CC: 5000||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$30,671.20"
AUTOMOVIL,GENESIS,G90,COREA DEL SUR,SERIE: 5.0 ULTIMATE||COMBUSTIBLE: GASOLINA||CILINDROS: 8||CC: 5000||PASAJEROS: 5||PUERTAS: 4||TRACCION: RWD||,2021,"$29,727.20"
JEEPETA,GENESIS,GV70,COREA DEL SUR,SERIE: 2.5T ADVANCED || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD || ,2021,"$18,588.80"
JEEPETA,GENESIS,GV70,COREA DEL SUR,SERIE: 2.5T SELECT || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD || ,2021,"$17,822.40"
JEEPETA,GENESIS,GV70,COREA DEL SUR,SERIE: 2.5T SPORT PRESTIGE || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD || ,2021,"$19,949.60"
JEEPETA,GENESIS,GV70,COREA DEL SUR,SERIE: 2.5T STANDARD || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD || ,2021,"$16,396.80"
JEEPETA,GENESIS,GV70,COREA DEL SUR,SERIE: 2.5T||COMBUSTIBLE: GASOLINA||CILINDRO: 4||CC: 2500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$17,062.40"
JEEPETA,GENESIS,GV70,COREA DEL SUR,SERIE: 3.5T SPORT || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD || ,2021,"$21,850.40"
JEEPETA,GENESIS,GV70,COREA DEL SUR,SERIE: 3.5T SPORT ADVANCED || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD || ,2021,"$22,876.00"
JEEPETA,GENESIS,GV70,COREA DEL SUR,SERIE: 3.5T SPORT PRESTIGE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD || ,2021,"$23,635.20"
JEEPETA,GENESIS,GV80,COREA DEL SUR,SERIE: 2.5T Advanced||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 2500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$26,284.00"
JEEPETA,GENESIS,GV80,COREA DEL SUR,SERIE: 2.5T Prestige||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 2500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$27,930.40"
JEEPETA,GENESIS,GV80,COREA DEL SUR,SERIE: 2.5T Select||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 2500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$24,225.20"
JEEPETA,GENESIS,GV80,COREA DEL SUR,SERIE: 2.5T Standard||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 2500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$22,116.00"
JEEPETA,GENESIS,GV80,COREA DEL SUR,SERIE: 2.5T||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 2500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$22,743.20"
JEEPETA,GENESIS,GV80,COREA DEL SUR,SERIE: 2.5T||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 2500||PASAJEROS: 5||PUERTAS: 4||TRACCION: RWD||,2021,"$18,814.80"
JEEPETA,GENESIS,GV80,COREA DEL SUR,SERIE: 3.5T ADVANCED||COMBUSTIBLE: GASOLINA||CILINDROS: 6||CC: 3500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$28,861.20"
JEEPETA,GENESIS,GV80,COREA DEL SUR,SERIE: 3.5T Prestige Black||COMBUSTIBLE: GASOLINA||CILINDROS: 6||CC: 3500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$31,635.20"
JEEPETA,GENESIS,GV80,COREA DEL SUR,SERIE: 3.5T PRESTIGE SIG||COMBUSTIBLE: GASOLINA||CILINDROS: 6||CC: 3500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$28,929.20"
JEEPETA,GENESIS,GV80,COREA DEL SUR,SERIE: 3.5T Prestige||COMBUSTIBLE: GASOLINA||CILINDROS: 6||CC: 3500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$31,285.60"
